Iowa counties' alcohol sale volume per capita:
  1. Dickinson             0.59 liters per person
  2. Ida                    0.4 liters per person
  3. Hardin                0.33 liters per person
  4. Carroll               0.31 liters per person
  5. Kossuth               0.31 liters per person
  6. Polk                  0.29 liters per person
  7. Cherokee              0.28 liters per person
  8. Linn                  0.28 liters per person
  9. Crawford              0.28 liters per person
 10. Lucas                 0.27 liters per person
 11. Clay                  0.27 liters per person
 12. Dubuque               0.27 liters per person
 13. Johnson               0.26 liters per person
 14. Allamakee             0.25 liters per person
 15. Black Hawk            0.25 liters per person
 16. Scott                 0.25 liters per person
 17. Union                 0.25 liters per person
 18. Howard                0.23 liters per person
 19. Iowa                  0.23 liters per person
 20. Boone                 0.22 liters per person
 21. Jones                 0.22 liters per person
 22. Bremer                0.22 liters per person
 23. Poweshiek             0.22 liters per person
 24. Webster               0.22 liters per person
 25. Woodbury              0.21 liters per person
 26. Winnebago             0.21 liters per person
 27. Sac                   0.21 liters per person
 28. Clinton                0.2 liters per person
 29. Lyon                   0.2 liters per person
 30. Floyd                  0.2 liters per person
 31. Monona                 0.2 liters per person
 32. Page                  0.19 liters per person
 33. Story                 0.19 liters per person
 34. Greene                0.19 liters per person
 35. Jackson               0.19 liters per person
 36. Lee                   0.19 liters per person
 37. Fayette               0.17 liters per person
 38. Des Moines            0.17 liters per person
 39. Wright                0.17 liters per person
 40. Hamilton              0.17 liters per person
 41. Adair                 0.16 liters per person
 42. Winneshiek            0.16 liters per person
 43. Palo Alto             0.16 liters per person
 44. Marshall              0.16 liters per person
 45. Delaware              0.16 liters per person
 46. Osceola               0.15 liters per person
 47. Appanoose             0.15 liters per person
 48. Clarke                0.14 liters per person
 49. Muscatine             0.14 liters per person
 50. Cedar                 0.14 liters per person
 51. Shelby                0.14 liters per person
 52. Pocahontas            0.13 liters per person
 53. Madison               0.13 liters per person
 54. Hancock               0.13 liters per person
 55. Buchanan              0.13 liters per person
 56. Worth                 0.13 liters per person
 57. Cass                  0.13 liters per person
 58. Washington            0.13 liters per person
 59. Wapello               0.12 liters per person
 60. Chickasaw             0.12 liters per person
 61. Marion                0.12 liters per person
 62. Humboldt              0.12 liters per person
 63. Jasper                0.12 liters per person
 64. Monroe                0.11 liters per person
 65. Henry                 0.11 liters per person
 66. Clayton               0.11 liters per person
 67. Franklin              0.11 liters per person
 68. Plymouth               0.1 liters per person
 69. Benton                 0.1 liters per person
 70. Tama                   0.1 liters per person
 71. Mitchell               0.1 liters per person
 72. Grundy                 0.1 liters per person
 73. Sioux                  0.1 liters per person
 74. Montgomery            0.09 liters per person
 75. Adams                 0.09 liters per person
 76. Mills                 0.09 liters per person
 77. Warren                0.08 liters per person
 78. Ringgold              0.08 liters per person
 79. Van Buren             0.08 liters per person
 80. Jefferson             0.08 liters per person
 81. Mahaska               0.08 liters per person
 82. Butler                0.08 liters per person
 83. Calhoun               0.08 liters per person
 84. Emmet                 0.07 liters per person
 85. Dallas                0.07 liters per person
 86. Taylor                0.07 liters per person
 87. Wayne                 0.06 liters per person
 88. Harrison              0.05 liters per person
 89. Louisa                0.05 liters per person
 90. Audubon               0.04 liters per person
 91. Keokuk                0.04 liters per person
 92. Decatur               0.03 liters per person
 93. Davis                 0.03 liters per person
 94. Guthrie               0.02 liters per person
 95. Fremont               0.01 liters per person
 96. Pottawattamie          0.0 liters per person
 97. Cerro Gordo            0.0 liters per person
 98. Buena Vista            0.0 liters per person
 99. O'Brien                0.0 liters per person
